Symbol	Bed chr (hg19)	start	end	chr locus	Annotator	Date updated	Origin	Expansion of gene name	Known function of gene	Variant type	Hom or Het	Variant chr	Variant start	Variant end	Call	Literature 1 (Title; PMID; Lit score)	Literature 2 (Title; PMID; Lit score)	Literature 3 (Title; PMID; Lit score)	Literature 4 (Title; PMID; Lit score)	Literature 5 (Title; PMID; Lit score)	Literature 6 (Title; PMID; Lit score)	Literature 7 (Title; PMID; Lit score)	Free text comments		Pathway
DPCD	chr10	103348044	103369421	10q24.32			Index gene	deleted in primary ciliary dyskinesia homolog (mouse)																	
FBXW4	chr10	103370420	103455052	10q24.32			Index gene	F-box and WD repeat domain containing 4																	
NPM3	chr10	103541081	103543170	10q24.32			Index gene	nucleophosmin/nucleoplasmin 3																	
MGEA5	chr10	103544199	103578222	10q24.32			Index gene	meningioma expressed antigen 5 (hyaluronidase)																	
LDB1	chr10	103866248	103880230	10q24.32			Index gene	LIM domain binding 1																	
NOLC1	chr10	103911932	103923628	10q24.32			Index gene	nucleolar and coiled-body phosphoprotein 1																	
GBF1	chr10	104005254	104142656	10q24.32			Index gene	golgi brefeldin A resistant guanine nucleotide exchange factor 1																	
PSD	chr10	104162373	104179691	10q24.32			Index gene	pleckstrin and Sec7 domain containing																	
FBXL15	chr10	104179570	104182893	10q24.32			Index gene	F-box and leucine rich repeat protein 15																	
CUEDC2	chr10	104183001	104192423	10q24.32			Index gene	CUE domain containing 2																	
MFSD13A	chr10	104221169	104236802	10q24.32			Index gene	major facilitator superfamily domain containing 13A																	
ACTR1A	chr10	104238985	104262512	10q24.32			Index gene	ARP1 actin-related protein 1 homolog A, centractin alpha																	
TRIM8	chr10	104404251	104418076	10q24.32			Index gene	tripartite motif containing 8																	
ARL3	chr10	104433483	104474190	10q24.32			Index gene	ADP ribosylation factor like GTPase 3																	
WBP1L	chr10	104503726	104576021	10q24.32			Index gene	WW domain binding protein 1 like																	
BORCS7	chr10	104613966	104624718	10q24.32			Index gene	BLOC-1 related complex subunit 7																	
NT5C2	chr10	104847773	104953063	10q24.32-q24.33			Index gene	5'-nucleotidase, cytosolic II																	
INA	chr10	105036919	105050108	10q24.33			Index gene	internexin neuronal intermediate filament protein alpha																	
NEURL1	chr10	105253734	105352309	10q24.33			Index gene	neuralized E3 ubiquitin protein ligase 1																	
GSTO1	chr10	106013951	106027222	10q25.1			Index gene	glutathione S-transferase omega 1																	
XPNPEP1	chr10	111624523	111683311	10q25.1			Index gene	X-prolyl aminopeptidase 1																	
MXI1	chr10	111967362	112047123	10q25.2			Index gene	MAX interactor 1, dimerization protein																	
SMNDC1	chr10	112052797	112064707	10q25.2			Index gene	survival motor neuron domain containing 1																	
PDCD4	chr10	112631552	112659764	10q25.2			Index gene	programmed cell death 4																	
BBIP1	chr10	112658487	112679124	10q25.2			Index gene	BBSome interacting protein 1																	
SHOC2	chr10	112679127	112773425	10q25.2			Index gene	SHOC2, leucine rich repeat scaffold protein																	
ZDHHC6	chr10	114190047	114206717	10q25.2	KH	12/6/2017	Index gene	zinc finger DHHC-type containing 6		1	Het				VOUS	No relevant NDD literature at this time									
ABLIM1	chr10	116190868	116527984	10q25.3			Index gene	actin binding LIM protein 1																	
SHTN1	chr10	118642887	118886097	10q25.3			Index gene	shootin 1																	
EIF3A	chr10	120794540	120840334	10q26.11			Index gene	eukaryotic translation initiation factor 3 subunit A																	
SFXN4	chr10	120900424	120925204	10q26.11			Index gene	sideroflexin 4																	
PRDX3	chr10	120927210	120938377	10q26.11			Index gene	peroxiredoxin 3																	
TIAL1	chr10	121332977	121356541	10q26.11			Index gene	TIA1 cytotoxic granule associated RNA binding protein like 1																	
INPP5F	chr10	121485558	121588662	10q26.11			Index gene	inositol polyphosphate-5-phosphatase F																	
TACC2	chr10	123748688	124014060	10q26.13			Index gene	transforming acidic coiled-coil containing protein 2																	
HTRA1	chr10	124221040	124274424	10q26.13			Index gene	HtrA serine peptidase 1																	
BUB3	chr10	124913759	124924886	10q26.13			Index gene	BUB3, mitotic checkpoint protein																	
OAT	chr10	126085871	126107545	10q26.13			Index gene	ornithine aminotransferase																	
METTL10	chr10	126446399	126480510	#N/A			Index gene	#N/A																	
ZRANB1	chr10	126630691	126676005	10q26.13			Index gene	zinc finger RANBP2-type containing 1																	
UROS	chr10	127473550	127511837	10q26.2			Index gene	uroporphyrinogen III synthase																	
BCCIP	chr10	127512103	127542264	10q26.2			Index gene	BRCA2 and CDKN1A interacting protein																	
DHX32	chr10	127524908	127569884	10q26.2			Index gene	DEAH-box helicase 32 (putative)																	
GLRX3	chr10	131934638	131978646	10q26.3			Index gene	glutaredoxin 3																	
PPP2R2D	chr10	133747954	133773338	10q26.3			Index gene	protein phosphatase 2 regulatory subunit Bdelta																	
BNIP3	chr10	133781186	133795517	10q26.3			Index gene	BCL2 interacting protein 3																	
DPYSL4	chr10	134000413	134019280	10q26.3			Index gene	dihydropyrimidinase like 4																	
STK32C	chr10	134020985	134145379	10q26.3			Index gene	serine/threonine kinase 32C																	
INPP5A	chr10	134351282	134596984	10q26.3			Index gene	inositol polyphosphate-5-phosphatase A																	
TUBGCP2	chr10	135092133	135125841	10q26.3			Index gene	tubulin gamma complex associated protein 2																	
CALY	chr10	135138926	135150487	10q26.3			Index gene	calcyon neuron specific vesicular protein																	
ECHS1	chr10	135175986	135186908	10q26.3			Index gene	enoyl-CoA hydratase, short chain 1																	
MTG1	chr10	135207620	135234174	10q26.3			Index gene	mitochondrial ribosome associated GTPase 1																	
RIC8A	chr11	207510	215175	11p15.5			Index gene	RIC8 guanine nucleotide exchange factor A																	
SIRT3	chr11	215029	236362	11p15.5			Index gene	sirtuin 3																	
PSMD13	chr11	236807	252984	11p15.5			Index gene	proteasome 26S subunit, non-ATPase 13																	
IFITM3	chr11	319672	320914	11p15.5			Index gene	interferon induced transmembrane protein 3																	
B4GALNT4	chr11	369794	382117	11p15.5			Index gene	beta-1,4-N-acetyl-galactosaminyltransferase 4																	
PTDSS2	chr11	448267	491400	11p15.5			Index gene	phosphatidylserine synthase 2																	
RNH1	chr11	494511	507283	11p15.5			Index gene	ribonuclease/angiogenin inhibitor 1																	
HRAS	chr11	532241	535567	11p15.5			Index gene	HRas proto-oncogene, GTPase																	
PHRF1	chr11	576445	612222	11p15.5	KH	12/6/2017	Index gene	PHD and ring finger domains 1		1	Het				VOUS	PHRF1 promotes genome integrity by modulating non-homologous end-joining ; PMID: 25855964; 2							PHRF1 is a putative phosphorylation substrate of ataxia telangiectasia-mutated/ataxia telangiectasia and Rad3-related kinases		
DEAF1	chr11	644219	695754	11p15.5	KH	12/6/2017	Index gene	DEAF1, transcription factor		1	Het				VOUS	Sex-dependent adaptive changes in serotonin-1A autoreceptor function and anxiety in Deaf1-deficient mice; PMID: 27488351; 1	Identification of a syndrome comprising microcephaly and intellectual disability but not white matter disease associated with a homozygous c.676C>T p.R226W DEAF1 mutation; PMID: 26834045; 1	Novel homozygous DEAF1 variant suspected in causing white matter disease, intellectual disability, and microcephaly; PMID: 24668509; 1	Exome analysis of Smith-Magenis-like syndrome cohort identifies de novo likely pathogenic variants; PMID: 28213671; 1	Evidence for genetic regulation of mRNA expression of the dosage-sensitive gene retinoic acid induced-1 (RAI1) in human brain; PMID: 26743651 ; 1	Intellectual disability: novel mutations in DEAF1 cause speech impairment and behavioral problems		Note however that all papers point to homozygous lof as mechanism. Those describing het lof mutations in DEAF1 are all point mutations disrupting the SAND domain, perhaps creating a dominant negative mutation with effects on the dosage sensitive RA1 gene (critical gene for Smith-Magenis syndrome.		RA1
TALDO1	chr11	747431	765024	11p15.5			Index gene	transaldolase 1																	
PDDC1	chr11	767222	777502	#N/A			Index gene	#N/A																	
CEND1	chr11	787109	790126	11p15.5			Index gene	cell cycle exit and neuronal differentiation 1																	
SLC25A22	chr11	790474	798269	11p15.5			Index gene	solute carrier family 25 member 22																	
RPLP2	chr11	809935	812876	11p15.5			Index gene	ribosomal protein lateral stalk subunit P2																	
CD151	chr11	832951	838835	11p15.5			Index gene	CD151 molecule (Raph blood group)																	
POLR2L	chr11	839720	842529	11p15.5			Index gene	RNA polymerase II subunit L																	
CHID1	chr11	867858	915058	11p15.5			Index gene	chitinase domain containing 1																	
AP2A2	chr11	925808	1012245	11p15.5			Index gene	adaptor related protein complex 2 alpha 2 subunit																	
TOLLIP	chr11	1295597	1330892	11p15.5			Index gene	toll interacting protein																	
BRSK2	chr11	1411128	1483919	11p15.5			Index gene	BR serine/threonine kinase 2																	
MOB2	chr11	1490677	1508009	11p15.5			Index gene	MOB kinase activator 2																	
DUSP8	chr11	1575280	1593150	11p15.5			Index gene	dual specificity phosphatase 8																	
CTSD	chr11	1773981	1785222	11p15.5			Index gene	cathepsin D																	
CD81	chr11	2397406	2418649	11p15.5			Index gene	CD81 molecule																	
NAP1L4	chr11	2965659	3013607	11p15.4			Index gene	nucleosome assembly protein 1 like 4																	
CARS	chr11	3022151	3078681	11p15.4			Index gene	cysteinyl-tRNA synthetase																	
HBB	chr11	5246695	5248301	11p15.4			Index gene	hemoglobin subunit beta																	
FAM160A2	chr11	6232563	6255941	11p15.4			Index gene	family with sequence similarity 160 member A2																	
APBB1	chr11	6416353	6440702	11p15.4			Index gene	amyloid beta precursor protein binding family B member 1																	
ARFIP2	chr11	6495912	6502709	11p15.4			Index gene	ADP ribosylation factor interacting protein 2																	
TIMM10B	chr11	6502676	6505911	11p15.4			Index gene	translocase of inner mitochondrial membrane 10B																	
ILK	chr11	6624937	6632105	11p15.4			Index gene	integrin linked kinase																	
TAF10	chr11	6632047	6633475	11p15.4			Index gene	TATA-box binding protein associated factor 10																	
TUB	chr11	8060179	8127654	11p15.4			Index gene	tubby bipartite transcription factor																	
RPL27A	chr11	8703994	8711419	11p15			Index gene	ribosomal protein L27a																	
TMEM9B	chr11	8968747	8986558	11p15.4			Index gene	TMEM9 domain family member B																	
DENND5A	chr11	9160374	9286873	11p15.4			Index gene	DENN domain containing 5A																	
IPO7	chr11	9406168	9469674	11p15.4			Index gene	importin 7																	
CTR9	chr11	10772533	10801302	11p15.4			Index gene	CTR9 homolog, Paf1/RNA polymerase II complex component																	
EIF4G2	chr11	10818592	10830582	11p15.4			Index gene	eukaryotic translation initiation factor 4 gamma 2																	
ZBED5	chr11	10874250	10879620	11p15.4			Index gene	zinc finger BED-type containing 5																	
CSNK2A3	chr11	11373488	11374904	11p15.4			Index gene	casein kinase 2 alpha 3																	
USP47	chr11	11862969	11980872	11p15.3			Index gene	ubiquitin specific peptidase 47																	
DKK3	chr11	11984542	12030917	11p15.3			Index gene	dickkopf WNT signaling pathway inhibitor 3																	
BTBD10	chr11	13409542	13484844	11p15.3			Index gene	BTB domain containing 10																	
COPB1	chr11	14479048	14521441	11p15.2			Index gene	coatomer protein complex subunit beta 1																	
PSMA1	chr11	14526421	14665180	11p15.2			Index gene	proteasome subunit alpha 1																	
C11orf58	chr11	16760147	16779901	11p15.2			Index gene	chromosome 11 open reading frame 58																	
RPS13	chr11	17095938	17099220	11p15.1			Index gene	ribosomal protein S13																	
NUCB2	chr11	17298285	17353070	11p15.1			Index gene	nucleobindin 2																	
SERGEF	chr11	17809595	18034709	11p15.1			Index gene	secretion regulating guanine nucleotide exchange factor																	
LDHA	chr11	18415935	18429765	11p15.1			Index gene	lactate dehydrogenase A																	
TSG101	chr11	18501857	18548503	11p15.1			Index gene	tumor susceptibility 101																	
PTPN5	chr11	18749474	18814268	11p15.1			Index gene	protein tyrosine phosphatase, non-receptor type 5																	
ARL14EP	chr11	30344645	30359770	11p14.1			Index gene	ADP ribosylation factor like GTPase 14 effector protein																	
IMMP1L	chr11	31453945	31531175	11p13	HT	12/6/2017	Index gene	inner mitochondrial membrane peptidase subunit 1		1	het				VOUS	A familial pericentric inversion of chromosome 11 associated with a microdeletion of 163 kb and microduplication of 288 kb at 11p13 and 11q22.3 without aniridia or eye anomalies; PMID: 26419218; 2	Mitochondrial inhibition during preimplantation embryogenesis shifts the transcriptional profile of fetal mouse brain; PMID: 21635818; 2								
EIF3M	chr11	32605312	32624419	11p13			Index gene	eukaryotic translation initiation factor 3 subunit M																	
CCDC73	chr11	32623625	32816204	11p13			Index gene	coiled-coil domain containing 73																	
CD59	chr11	33724555	33758025	11p13			Index gene	CD59 molecule (CD59 blood group)																	
FBXO3	chr11	33762489	33796071	11p13	KH	12/6/2017	Index gene	F-box protein 3		1	Het				VOUS	Spinal Fbxo3-Dependent Fbxl2 Ubiquitination of Active Zone Protein RIM1α Mediates Neuropathic Allodynia through CaV2.2 Activation; PMID: 27629721; 2									
CAPRIN1	chr11	34073229	34124157	11p13	KH	12/6/2017	Index gene	cell cycle associated protein 1			Het				LP	Comprehensive behavioral analysis of RNG105 (Caprin1) heterozygous mice: Reduced social interaction and attenuated response to novelty; PMID: 26865403; 1	Deficiency of the RNA binding protein caprin2 causes lens defects and features of Peters anomaly; PMID: 26177727; 1	Copy number variable microRNAs in schizophrenia and their neurodevelopmental gene targets; PMID: 25034949; 1	Detection of clinically relevant genetic variants in autism spectrum disorder by whole-genome sequencing; PMID: 23849776; 1						FMR1
NAT10	chr11	34127110	34168458	11p13	KH	12/6/2017	Index gene	N-acetyltransferase 10			Het				VOUS	NAT10 regulates p53 activation through acetylating p53 at K120 and ubiquitinating Mdm2; PMID: 26882543; 1									ANKRD11, p53
PDHX	chr11	34937676	35017675	11p13			Index gene	pyruvate dehydrogenase complex component X																	
SLC1A2	chr11	35272751	35441610	11p13			Index gene	solute carrier family 1 member 2																	
TRIM44	chr11	35684299	35832603	11p13			Index gene	tripartite motif containing 44																	
COMMD9	chr11	36293841	36310999	11p13			Index gene	COMM domain containing 9																	
API5	chr11	43333504	43366080	11p12			Index gene	apoptosis inhibitor 5																	
HSD17B12	chr11	43702142	43878169	11p11.2			Index gene	hydroxysteroid 17-beta dehydrogenase 12																	
ALKBH3	chr11	43902356	43941825	11p11.2			Index gene	alkB homolog 3, alpha-ketoglutaratedependent dioxygenase																	
EXT2	chr11	44117098	44266980	11p11.2			Index gene	exostosin glycosyltransferase 2																	
TP53I11	chr11	44953898	44972857	11p11.2			Index gene	tumor protein p53 inducible protein 11																	
SYT13	chr11	45261852	45307884	11p11.2			Index gene	synaptotagmin 13																	
CHST1	chr11	45669238	45687206	11p11.2			Index gene	carbohydrate sulfotransferase 1																	
CRY2	chr11	45868668	45904799	11p11.2			Index gene	cryptochrome circadian clock 2																	
MAPK8IP1	chr11	45907046	45928016	11p11.2			Index gene	mitogen-activated protein kinase 8 interacting protein 1																	
PEX16	chr11	45931219	45939674	11p11.2			Index gene	peroxisomal biogenesis factor 16																	
AMBRA1	chr11	46417961	46615619	11p11.2			Index gene	autophagy and beclin 1 regulator 1																	
ATG13	chr11	46638825	46697568	11p11.2			Index gene	autophagy related 13																	
ARHGAP1	chr11	46698624	46722215	11p11.2			Index gene	Rho GTPase activating protein 1																	
CKAP5	chr11	46765083	46867859	11p11.2			Index gene	cytoskeleton associated protein 5																	
C11orf49	chr11	46958239	47185931	11p11.2			Index gene	chromosome 11 open reading frame 49																	
ARFGAP2	chr11	47185848	47198676	11p11.2			Index gene	ADP ribosylation factor GTPase activating protein 2																	
ACP2	chr11	47260852	47270398	11p11.2			Index gene	acid phosphatase 2, lysosomal																	
MADD	chr11	47290926	47351582	11p11.2			Index gene	MAP kinase activating death domain																	
PSMC3	chr11	47440319	47448024	11p11.2			Index gene	proteasome 26S subunit, ATPase 3																	
CELF1	chr11	47487488	47574792	11p11.2			Index gene	CUGBP Elav-like family member 1																	
PTPMT1	chr11	47586981	47595013	11p11.2			Index gene	protein tyrosine phosphatase, mitochondrial 1																	
KBTBD4	chr11	47593748	47600567	11p11.2			Index gene	kelch repeat and BTB domain containing 4																	
NDUFS3	chr11	47600561	47606115	11p11.2			Index gene	NADH:ubiquinone oxidoreductase core subunit S3																	
C1QTNF4	chr11	47611215	47615961	11p11.2			Index gene	C1q and TNF related 4																	
MTCH2	chr11	47638857	47664206	11p11.2			Index gene	mitochondrial carrier 2																	
SSRP1	chr11	57093458	57103351	11q12.1			Index gene	structure specific recognition protein 1																	
TIMM10	chr11	57295935	57298232	11q12.1			Index gene	translocase of inner mitochondrial membrane 10																	
UBE2L6	chr11	57319127	57335803	11q12.1	KH	12/6/2017	Index gene	ubiquitin conjugating enzyme E2 L6		1	Het				VOUS	No NDD relevant literature at this time									
SERPING1	chr11	57365026	57382326	11q12.1	KH	12/6/2017	Index gene	serpin family G member 1		1	Het				P	Complement Gene Expression Correlates with Superior Frontal Cortical Thickness in Humans; PMID: 28758643; 2	Lots of literature associating this with angioedema (HGMD)								
TMX2	chr11	57479994	57508445	11q12.1	KH	12/6/2017	Index gene	thioredoxin related transmembrane protein 2		1	Het				VOUS	No NDD relevant literature at this time									
SELENOH	chr11	57508721	57511026	11q12.1	KH	12/6/2017	Index gene	selenoprotein H		1	Het				VOUS	No NDD relevant literature at this time									
CTNND1	chr11	57529233	57586652	11q12.1	KH	12/6/2017	Index gene	catenin delta 1		1	Het				LP	Sporadic autism exomes reveal a highly interconnected protein network of de novo mutations; PMID: 22495309; 1	Blepharocheilodontic syndrome is a CDH1 pathway-related disorder due to mutations in CDH1 and CTNND1; PMID: 28301459; 1								
ZFP91	chr11	58346586	58389023	11q12.1			Index gene	ZFP91 zinc finger protein																	
ZFP91-CNTF	chr11	58346586	58393205	11q12.1			Index gene	ZFP91-CNTF readthrough (NMD candidate)																	
DTX4	chr11	58938902	58976060	11q12.1			Index gene	deltex E3 ubiquitin ligase 4																	
OSBP	chr11	59341870	59383617	11q12.1			Index gene	oxysterol binding protein																	
PRPF19	chr11	60658019	60674061	11q12.2			Index gene	pre-mRNA processing factor 19																	
TMEM132A	chr11	60691912	60704631	11q12.2			Index gene	transmembrane protein 132A																	
SLC15A3	chr11	60704554	60719257	11q12.2			Index gene	solute carrier family 15 member 3																	
DDB1	chr11	61066918	61100684	11q12.2			Index gene	damage specific DNA binding protein 1																	
CPSF7	chr11	61170119	61197464	11q12.2			Index gene	cleavage and polyadenylation specific factor 7																	
SDHAF2	chr11	61197596	61214239	11q12.2			Index gene	succinate dehydrogenase complex assembly factor 2																	
SYT7	chr11	61281187	61348344	11q12.2			Index gene	synaptotagmin 7																	
TMEM258	chr11	61556601	61560085	11q12.2			Index gene	transmembrane protein 258																	
FADS1	chr11	61567096	61584529	11q12.2			Index gene	fatty acid desaturase 1																	
FADS2	chr11	61583674	61634826	11q12.2			Index gene	fatty acid desaturase 2																	
BEST1	chr11	61717355	61731935	11q12.3			Index gene	bestrophin 1																	
FTH1	chr11	61731756	61735132	11q12.3			Index gene	ferritin heavy chain 1																	
ASRGL1	chr11	62104773	62160887	11q12.3			Index gene	asparaginase like 1																	
EEF1G	chr11	62327072	62341460	11q12.3			Index gene	eukaryotic translation elongation factor 1 gamma																	
MIR3654	chr11	62327634	62327778	7q33			Index gene	microRNA 3654																	
MTA2	chr11	62360674	62369312	11q12.3			Index gene	metastasis associated 1 family member 2																	
B3GAT3	chr11	62382767	62389647	11q12.3			Index gene	beta-1,3-glucuronyltransferase 3																	
GANAB	chr11	62392297	62414198	11q12.3			Index gene	glucosidase II alpha subunit																	
LBHD1	chr11	62430288	62439241	11q12.3			Index gene	LBH domain containing 1																	
UBXN1	chr11	62443969	62446589	11q12.3			Index gene	UBX domain protein 1																	
BSCL2	chr11	62457733	62477091	11q12.3			Index gene	BSCL2, seipin lipid droplet biogenesis associated																	
HNRNPUL2	chr11	62480096	62494857	11q12.3			Index gene	heterogeneous nuclear ribonucleoprotein U like 2																	
HNRNPUL2	chr11	62480097	62494857	11q12.3			Index gene	heterogeneous nuclear ribonucleoprotein U like 2																	
TTC9C	chr11	62495544	62506108	11q12.3			Index gene	tetratricopeptide repeat domain 9C																	
POLR2G	chr11	62529010	62534187	11q12.3			Index gene	RNA polymerase II subunit G																	
NXF1	chr11	62559597	62572964	11q12.3			Index gene	nuclear RNA export factor 1																	
STX5	chr11	62574331	62599563	11q12.3			Index gene	syntaxin 5																	
WDR74	chr11	62600376	62607628	11q12.3			Index gene	WD repeat domain 74																	
SLC3A2	chr11	62623483	62656355	11q12.3			Index gene	solute carrier family 3 member 2																	
RTN3	chr11	63448921	63527363	11q13			Index gene	reticulon 3																	
MARK2	chr11	63606399	63678492	11q13.1			Index gene	microtubule affinity regulating kinase 2																	
COX8A	chr11	63742078	63744015	11q13.1			Index gene	cytochrome c oxidase subunit 8A																	
OTUB1	chr11	63753324	63765892	11q13.1			Index gene	OTU deubiquitinase, ubiquitin aldehyde binding 1																	
STIP1	chr11	63952743	63972020	11q13.1			Index gene	stress induced phosphoprotein 1																	
VEGFB	chr11	64002055	64006736	11q13.1			Index gene	vascular endothelial growth factor B																	
FKBP2	chr11	64008412	64011607	11q13.1			Index gene	FK506 binding protein 2																	
BAD	chr11	64037299	64052176	11q13.1			Index gene	BCL2 associated agonist of cell death																	
GPR137	chr11	64051810	64056972	11q13.1			Index gene	G protein-coupled receptor 137																	
TRMT112	chr11	64083963	64085556	11q13.1			Index gene	tRNA methyltransferase 11-2 homolog (S. cerevisiae)																	
PRDX5	chr11	64085559	64089295	11q13.1			Index gene	peroxiredoxin 5																	
NRXN2	chr11	64373645	64490660	11q13.1			Index gene	neurexin 2																	
SF1	chr11	64532075	64546316	11q13.1			Index gene	splicing factor 1																	
MEN1	chr11	64570985	64578766	11q13			Index gene	menin 1																	
PPP2R5B	chr11	64692142	64701950	11q13.1			Index gene	protein phosphatase 2 regulatory subunit B'beta																	
ARL2	chr11	64781584	64789657	11q13.1			Index gene	ADP ribosylation factor like GTPase 2																	
SNX15	chr11	64794879	64808044	11q13.1			Index gene	sorting nexin 15																	
VPS51	chr11	64863586	64879332	11q13.1			Index gene	VPS51, GARP complex subunit																	
TM7SF2	chr11	64879325	64883707	11q13.1			Index gene	transmembrane 7 superfamily member 2																	
FAU	chr11	64888098	64889672	11q13.1			Index gene	FAU, ubiquitin like and ribosomal protein S30 fusion																	
MRPL49	chr11	64889654	64894841	11q13.1			Index gene	mitochondrial ribosomal protein L49																	
SYVN1	chr11	64894750	64902003	11q13.1			Index gene	synoviolin 1																	
CAPN1	chr11	64948685	64979477	11q13.1			Index gene	calpain 1																	
DPF2	chr11	65101224	65120451	11q13.1			Index gene	double PHD fingers 2																	
SCYL1	chr11	65292547	65306182	11q13.1			Index gene	SCY1 like pseudokinase 1																	
LTBP3	chr11	65306029	65325699	11q13.1			Index gene	latent transforming growth factor beta binding protein 3																	
SSSCA1	chr11	65337929	65339359	11q13.1			Index gene	Sjogren syndrome/scleroderma autoantigen 1																	
RELA	chr11	65421066	65430443	11q13.1			Index gene	RELA proto-oncogene, NF-kB subunit																	
KAT5	chr11	65479472	65487077	11q13.1			Index gene	lysine acetyltransferase 5																	
RNASEH2C	chr11	65485143	65488409	11q13.1			Index gene	ribonuclease H2 subunit C																	
SNX32	chr11	65601409	65621172	11q13.1			Index gene	sorting nexin 32																	
CFL1	chr11	65622284	65625804	11q13.1			Index gene	cofilin 1																	
MUS81	chr11	65627871	65633914	11q13			Index gene	MUS81 structure-specific endonuclease subunit																	
FIBP	chr11	65651210	65656010	11q13.1			Index gene	FGF1 intracellular binding protein																	
CCDC85B	chr11	65657874	65659106	11q13.1			Index gene	coiled-coil domain containing 85B																	
C11orf68	chr11	65684282	65686531	11q13.1			Index gene	chromosome 11 open reading frame 68																	
DRAP1	chr11	65686727	65689048	11q13.1			Index gene	DR1 associated protein 1																	
SART1	chr11	65729159	65747607	11q13.1			Index gene	squamous cell carcinoma antigen recognized by T-cells 1																	
BANF1	chr11	65769549	65771617	11q13.1			Index gene	barrier to autointegration factor 1																	
SF3B2	chr11	65819815	65836382	11q13.1			Index gene	splicing factor 3b subunit 2																	
PACS1	chr11	65837823	66012218	11q13.1-q13.2			Index gene	phosphofurin acidic cluster sorting protein 1																	
KLC2	chr11	66024764	66035332	11q13.2			Index gene	kinesin light chain 2																	
RAB1B	chr11	66036055	66044963	11q13.2			Index gene	RAB1B, member RAS oncogene family																	
CNIH2	chr11	66045671	66051685	11q13.2			Index gene	cornichon family AMPA receptor auxiliary protein 2																	
YIF1A	chr11	66052050	66056638	11q13.2			Index gene	Yip1 interacting factor homolog A, membrane trafficking protein																	
MRPL11	chr11	66202545	66206319	11q13.2			Index gene	mitochondrial ribosomal protein L11																	
CTSF	chr11	66330934	66336047	11q13.2			Index gene	cathepsin F																	
CCS	chr11	66360689	66373490	11q13.2			Index gene	copper chaperone for superoxide dismutase																	
RBM14	chr11	66384052	66397397	11q13.2			Index gene	RNA binding motif protein 14																	
RBM14-RBM4	chr11	66384052	66413944	11q13.2			Index gene	RBM14-RBM4 readthrough																	
RBM4	chr11	66406087	66435858	11q13.2			Index gene	RNA binding motif protein 4																	
SPTBN2	chr11	66452719	66488870	11q13.2			Index gene	spectrin beta, non-erythrocytic 2																	
PC	chr11	66615996	66725847	11q13.2			Index gene	pyruvate carboxylase																	
KDM2A	chr11	66886739	67025550	11q13.2			Index gene	lysine demethylase 2A																	
GRK2	chr11	67033904	67054029	11q13.2			Index gene	G protein-coupled receptor kinase 2																	
ANKRD13D	chr11	67056761	67069955	11q13.2			Index gene	ankyrin repeat domain 13D																	
RAD9A	chr11	67159422	67165883	11q13.2			Index gene	RAD9 checkpoint clamp component A																	
PPP1CA	chr11	67165651	67169376	11q13			Index gene	protein phosphatase 1 catalytic subunit alpha																	
CORO1B	chr11	67205517	67211292	11q13.2			Index gene	coronin 1B																	
AIP	chr11	67250499	67258579	11q13.2			Index gene	aryl hydrocarbon receptor interacting protein																	
PITPNM1	chr11	67259238	67272843	11q13.2			Index gene	phosphatidylinositol transfer protein membrane associated 1																	
CDK2AP2	chr11	67273960	67276199	11q13.2			Index gene	cyclin dependent kinase 2 associated protein 2																	
GSTP1	chr11	67351065	67354124	11q13.2			Index gene	glutathione S-transferase pi 1																	
NDUFV1	chr11	67374322	67380012	11q13.2			Index gene	NADH:ubiquinone oxidoreductase core subunit V1																	
NDUFS8	chr11	67798083	67804114	11q13.2			Index gene	NADH:ubiquinone oxidoreductase core subunit S8																	
CHKA	chr11	67820325	67888858	11q13.2			Index gene	choline kinase alpha																	
PPP6R3	chr11	68228185	68382801	11q13			Index gene	protein phosphatase 6 regulatory subunit 3																	
MRPL21	chr11	68658745	68671303	11q13.3			Index gene	mitochondrial ribosomal protein L21																	
CTTN	chr11	70244611	70282690	11q13.3			Index gene	cortactin																	
DHCR7	chr11	71145456	71159477	11q13.4			Index gene	7-dehydrocholesterol reductase																	
RNF121	chr11	71639767	71708643	11q13.4			Index gene	ring finger protein 121																	
NUMA1	chr11	71713909	71791739	11q13.4			Index gene	nuclear mitotic apparatus protein 1																	
LAMTOR1	chr11	71808337	71814433	11q13.4			Index gene	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1																	
ANAPC15	chr11	71820632	71823822	11q13.4			Index gene	anaphase promoting complex subunit 15																	
PDE2A	chr11	72287183	72385497	11q13.4			Index gene	phosphodiesterase 2A																	
STARD10	chr11	72465773	72504750	11q13			Index gene	StAR related lipid transfer domain containing 10																	
FCHSD2	chr11	72547789	72853143	11q13.4			Index gene	FCH and double SH3 domains 2																	
ARHGEF17	chr11	73019662	73080425	11q13.4			Index gene	Rho guanine nucleotide exchange factor 17																	
FAM168A	chr11	73111522	73309234	11q13.4			Index gene	family with sequence similarity 168 member A																	
RAB6A	chr11	73386682	73472201	11q13.4			Index gene	RAB6A, member RAS oncogene family																	
MRPL48	chr11	73498916	73575656	11q13.4			Index gene	mitochondrial ribosomal protein L48																	
COA4	chr11	73583712	73587890	11q13.4			Index gene	cytochrome c oxidase assembly factor 4 homolog																	
PAAF1	chr11	73587743	73638781	11q13.4			Index gene	proteasomal ATPase associated factor 1																	
