#hg19.refGene.name	hg19.refGene.chrom	hg19.refGene.txStart	hg19.refGene.txEnd	hgFixed.refLink.name	hgFixed.refLink.geneName
NM_153234	chr5	96427573	96478520	LIX1	74535
NM_001163417	chr5	92953430	93447404	FAM172A	152763
NM_001002796	chr5	94041241	94417570	MCTP1	84497
NM_173488	chr5	101707485	101834720	SLCO6A1	153801
NM_001289004	chr5	101707485	101834720	SLCO6A1	153801
NM_001289002	chr5	101707485	101834720	SLCO6A1	153801
NM_001308014	chr5	101707485	101834720	SLCO6A1	153801
NM_001962	chr5	106712589	107006596	EFNA5	81610
NM_001204194	chr5	112196884	112204089	SRP19	36108
NM_001204196	chr5	112196884	112204089	SRP19	36108
NM_001204199	chr5	112196884	112228776	SRP19	36108
NM_001142474	chr5	111064999	111312628	NREP	76267
NM_001303250	chr5	110073836	110100874	SLC25A46	152580
NM_001303249	chr5	110074672	110100874	SLC25A46	152580
NM_001204193	chr5	112196884	112204089	SRP19	36108
NM_003135	chr5	112196884	112204089	SRP19	36108
NM_001142475	chr5	111064999	111312628	NREP	76267
NR_138151	chr5	110074672	110100874	SLC25A46	152580
NM_173800	chr5	115298150	115363299	LVRN	262901
NM_138773	chr5	110074672	110100874	SLC25A46	152580
NM_005509	chr5	118406781	118584824	DMXL1	142442
NM_001166226	chr5	122680578	122759286	CEP120	82761
NM_001290321	chr5	118406781	118584824	DMXL1	142442
NM_153223	chr5	122680578	122759286	CEP120	82761
NM_001349239	chr5	118406781	118584824	DMXL1	142442
NM_001349240	chr5	118406749	118584824	DMXL1	142442
NR_125774	chr5	123395486	123774213	LINC01170	435838
NM_001290322	chr5	118406781	118584824	DMXL1	142442
NM_133372	chr5	130977406	131132756	FNIP1	151341
NM_001286808	chr5	126853300	126890780	PRRC1	152573
NM_130809	chr5	126853300	126890780	PRRC1	152573
NM_133638	chr5	128795957	129074376	ADAMTS19	146796
NM_001346114	chr5	130977405	131132643	FNIP1	151341
NM_001346113	chr5	131013289	131132756	FNIP1	151341
NM_001008738	chr5	130977406	131132756	FNIP1	151341
NM_016603	chr5	137273606	137368802	FAM13B	154476
NM_012159	chr5	135266005	135277367	FBXL21	79737
NM_001037633	chr5	138282409	138534065	SIL1	24453
NR_132347	chr5	135266005	135277367	FBXL21	79737
NM_001101800	chr5	137273606	137368802	FAM13B	154476
NM_022464	chr5	138282409	138534065	SIL1	24453
NM_001101801	chr5	137273606	137368802	FAM13B	154476
NM_004598	chr5	136310986	136835018	SPOCK1	81682
NM_001271742	chr5	148875456	148929894	CSNK1A1	20556
NM_001271741	chr5	148875456	148931115	CSNK1A1	20556
NM_001892	chr5	148875456	148931115	CSNK1A1	20556
NM_001387	chr5	146770370	146833260	DPYSL3	84978
NM_001197294	chr5	146770370	146889619	DPYSL3	84978
NM_020768	chr5	143550436	143856944	KCTD16	155851
NM_001040169	chr5	147830594	148016624	HTR4	76090
NM_001025105	chr5	148875456	148931115	CSNK1A1	20556
NM_199453	chr5	147830594	148016624	HTR4	76090
NM_001324103	chr5	158122922	158526770	EBF1	94277
NM_182708	chr5	158122922	158526770	EBF1	94277
NR_047578	chr5	152870083	153193429	GRIA1	75946
NM_001324101	chr5	158122922	158526770	EBF1	94277
NM_015315	chr5	154092461	154197167	LARP1	151289
NM_001114183	chr5	152870083	153193429	GRIA1	75946
NM_001290360	chr5	158122922	158526770	EBF1	94277
NM_001324108	chr5	158122922	158526770	EBF1	94277
NM_001324107	chr5	158122922	158526770	EBF1	94277
NM_001324106	chr5	158122922	158526770	EBF1	94277
NM_001258023	chr5	152870856	153193429	GRIA1	75946
NM_001258020	chr5	152870083	153193429	GRIA1	75946
NM_001258019	chr5	152870083	153193429	GRIA1	75946
NM_001258021	chr5	152871731	153193429	GRIA1	75946
NM_001324111	chr5	158122922	158526770	EBF1	94277
NM_001324109	chr5	158122922	158526770	EBF1	94277
NR_109877	chr5	151998524	152351909	LINC01470	324200
NM_001258022	chr5	152871731	153193429	GRIA1	75946
NM_024007	chr5	158122922	158526770	EBF1	94277
NM_000827	chr5	152870083	153193429	GRIA1	75946
NM_001122679	chr5	166711842	167691162	TENM2	397392
NM_001131055	chr5	175085039	175113245	HRH2	142220
NM_001034838	chr5	169780490	170163637	KCNIP1	79033
NM_001159710	chr5	180336563	180377906	BTNL8	156076
NM_001159709	chr5	180326076	180377906	BTNL8	156076
NM_024850	chr5	180326076	180377906	BTNL8	156076
NM_001159708	chr5	180326076	180377906	BTNL8	156076
NM_001159707	chr5	180326076	180377906	BTNL8	156076
NM_198868	chr5	179289070	179334856	TBC1D9B	84958
NM_015043	chr5	179289070	179334856	TBC1D9B	84958
NR_146227	chr5	177138050	177209921	FAM153A	195370
NR_146226	chr5	177138050	177210426	FAM153A	195370
NM_173663	chr5	177150364	177210426	FAM153A	195370
NM_001040462	chr5	180326076	180377906	BTNL8	156076
NM_004237	chr5	892968	918164	TRIP13	22197
NM_001284351	chr5	472100	524549	SLC9A3	75817
NM_001242412	chr5	304290	438405	AHRR	76160
NM_004174	chr5	472100	524549	SLC9A3	75817
NM_020731	chr5	304290	438405	AHRR	76160
NM_052909	chr5	92265	190087	PLEKHG4B	151862
NR_003263	chr5	1572072	1594646	SDHAP3	286774
NM_001044	chr5	1392904	1445543	SLC6A3	156435
NM_001306150	chr5	2752244	2754489	C5orf38	155501
NM_001294337	chr5	2752244	2755511	C5orf38	155501
NR_122125	chr5	2752244	2755511	C5orf38	155501
NR_122126	chr5	2752244	2755511	C5orf38	155501
NM_001306149	chr5	2752244	2755511	C5orf38	155501
NM_178569	chr5	2752244	2755511	C5orf38	155501
NR_146281	chr5	6795992	6826841	LINC02236	349340
NM_020546	chr5	7396342	7830194	ADCY2	76138
NM_024091	chr5	7859271	7869150	FASTKD3	151268
NR_036553	chr5	7859271	7869150	FASTKD3	151268
NR_073608	chr5	7859271	7869150	FASTKD3	151268
NM_001270660	chr5	10353750	10440500	MARCH6	75378
NM_001270661	chr5	10353750	10440500	MARCH6	75378
NM_005885	chr5	10353750	10440500	MARCH6	75378
NR_027112	chr5	9641426	9903936	LINC02112	308305
NM_001164440	chr5	10564434	10657928	ANKRD33B	431444
NM_004394	chr5	10679341	10761387	DAP	79666
NM_001291963	chr5	10679341	10761387	DAP	79666
NR_147005	chr5	12877583	13032998	LINC02220	413391
NM_001369	chr5	13690436	13944589	DNAH5	146127
NM_007118	chr5	14143810	14510313	TRIO	20730
NR_134469	chr5	14143810	14510313	TRIO	20730
NM_054027	chr5	14704908	14871894	ANKH	85158
NR_109944	chr5	15191754	15266669	LINC02149	324205
NM_001034850	chr5	16473146	16617167	RETREG1	325925
NM_001102562	chr5	16067414	16179897	MARCH11	156950
NR_104625	chr5	16373469	16441211	LINC02150	309140
NR_027253	chr5	17130136	17217531	BASP1-AS1	439874
NR_134275	chr5	17404127	17441803	LINC02217	325599
NR_134274	chr5	17404254	17441803	LINC02217	325599
NM_001291957	chr5	19471404	19886381	CDH18	82614
NR_146519	chr5	20305659	20332555	CDH18-AS1	353860
NR_149120	chr5	20611948	20937802	LINC02241	439672
NR_027028	chr5	21459588	21497305	GUSBP1	435515
NR_027026	chr5	21459588	21589481	GUSBP1	435515
NR_003921	chr5	22142460	22152379	PMCHL1	148920
NM_001317224	chr5	24487208	24593608	CDH10	23407
NM_001317222	chr5	24487208	24645087	CDH10	23407
NM_006727	chr5	24487208	24645087	CDH10	23407
NR_136209	chr5	25191061	25302389	LINC02211	310851
NM_016279	chr5	26880708	27038689	CDH9	83361
NM_004932	chr5	31193761	31329253	CDH6	75318
NM_016107	chr5	32354451	32444867	ZFR	22930
NM_001294344	chr5	32227112	32313114	MTMR12	154660
NM_001294343	chr5	32227112	32313114	MTMR12	154660
NR_144318	chr5	32354451	32444867	ZFR	22930
NM_001040446	chr5	32227112	32313114	MTMR12	154660
NM_178140	chr5	31639516	32111038	PDZD2	195458
NM_001204376	chr5	32710742	32791830	NPR3	84857
NM_000908	chr5	32711437	32791830	NPR3	84857
NM_001204375	chr5	32711437	32791830	NPR3	84857
NR_146599	chr5	34017962	34244829	C1QTNF3	75352
NM_016180	chr5	33944720	33984780	SLC45A2	74558
NM_001324511	chr5	33751301	33892297	ADAMTS12	146348
NR_037951	chr5	33987090	34124633	C1QTNF3-AMACR	288474
NM_001012509	chr5	33945971	33984780	SLC45A2	74558
NM_144725	chr5	34839268	34899564	TTC23L	83950
NM_001317949	chr5	34839728	34900606	TTC23L	83950
NM_001145520	chr5	34656595	34832717	RAI14	20598
NM_001145525	chr5	34684611	34832717	RAI14	20598
NM_001145521	chr5	34684611	34832717	RAI14	20598
NM_001145523	chr5	34687663	34832717	RAI14	20598
NM_001145522	chr5	34656432	34832717	RAI14	20598
NM_015577	chr5	34656432	34832717	RAI14	20598
NM_000949	chr5	35055801	35230691	PRLR	72776
NM_174914	chr5	36035118	36067023	UGT3A2	155560
NM_001168316	chr5	36035118	36067023	UGT3A2	155560
NM_032637	chr5	36152144	36184142	SKP2	75628
NM_001243120	chr5	36152144	36184142	SKP2	75628
NR_031764	chr5	36035118	36067023	UGT3A2	155560
NM_144647	chr5	35904397	35938881	CAPSL	83922
NM_005983	chr5	36152144	36184142	SKP2	75628
NM_001042625	chr5	35904397	35938737	CAPSL	83922
NM_023073	chr5	37106329	37249530	C5orf42	153257
NM_001278312	chr5	37291734	37371228	NUP155	48153
NM_015384	chr5	36876860	37065921	NIPBL	147398
NM_133433	chr5	36876860	37065921	NIPBL	147398
NM_153485	chr5	37291734	37371228	NUP155	48153
NM_004298	chr5	37291734	37371228	NUP155	48153
NM_002310	chr5	38475064	38595507	LIFR	75233
NR_147009	chr5	38025798	38184034	LINC02107	413394
NM_001205301	chr5	38258510	38465582	EGFLAM	83114
NM_152403	chr5	38258510	38465582	EGFLAM	83114
NM_182798	chr5	38403633	38465582	EGFLAM	83114
NR_103554	chr5	38556887	38671318	LIFR-AS1	324852
NM_001127671	chr5	38475064	38556748	LIFR	75233
NM_001323506	chr5	38845959	38935743	OSMR	81791
NM_001737	chr5	39284246	39364662	C9	22647
NM_001349333	chr5	39105353	39219708	FYB1	438146
NM_001465	chr5	39105353	39219708	FYB1	438146
NM_003999	chr5	38846100	38935743	OSMR	81791
NM_001243093	chr5	39105353	39270759	FYB1	438146
NM_001285439	chr5	38938022	39074510	RICTOR	153361
NM_001285440	chr5	38938022	39074510	RICTOR	153361
NM_001323505	chr5	38845959	38935743	OSMR	81791
NM_152756	chr5	38938022	39074510	RICTOR	153361
NM_199335	chr5	39105353	39219708	FYB1	438146
NM_206907	chr5	40759480	40798297	PRKAA1	72470
NM_001355037	chr5	40759480	40798297	PRKAA1	72470
NM_001355036	chr5	40759480	40798297	PRKAA1	72470
NM_001355035	chr5	40759480	40798297	PRKAA1	72470
NM_001355029	chr5	40759480	40798297	PRKAA1	72470
NM_001355028	chr5	40759480	40798297	PRKAA1	72470
NM_006251	chr5	40759480	40798297	PRKAA1	72470
NM_173489	chr5	40998121	41071444	MROH2B	413517
NM_001115131	chr5	41142247	41261540	C6	76317
NM_001005473	chr5	41307047	41510730	PLCXD3	84242
NM_000436	chr5	41730166	41870791	OXCT1	72553
NM_000065	chr5	41142247	41213695	C6	76317
NM_001242462	chr5	42565965	42721980	GHR	72917
NM_001242460	chr5	42565965	42721980	GHR	72917
NM_001242405	chr5	42550181	42721980	GHR	72917
NM_001242404	chr5	42549657	42721980	GHR	72917
NM_001242406	chr5	42565562	42721980	GHR	72917
NM_001242402	chr5	42548144	42721980	GHR	72917
NM_001242401	chr5	42425093	42721980	GHR	72917
NM_001242400	chr5	42424553	42721980	GHR	72917
NM_001242399	chr5	42424553	42721980	GHR	72917
NM_001242403	chr5	42548314	42721980	GHR	72917
NM_000163	chr5	42423876	42721980	GHR	72917
NM_001330704	chr5	43120944	43176426	ZNF131	84799
NM_001330717	chr5	43121697	43176426	ZNF131	84799
NM_001330715	chr5	43121697	43176426	ZNF131	84799
NM_001330711	chr5	43121562	43176426	ZNF131	84799
NM_001330710	chr5	43120944	43176426	ZNF131	84799
NM_001330705	chr5	43121562	43176426	ZNF131	84799
NM_001330707	chr5	43120944	43176426	ZNF131	84799
NM_001330713	chr5	43121697	43176426	ZNF131	84799
NM_001330712	chr5	43121562	43176426	ZNF131	84799
NM_001330708	chr5	43120944	43176426	ZNF131	84799
NM_001330716	chr5	43121697	43176426	ZNF131	84799
NM_001330714	chr5	43121697	43176426	ZNF131	84799
NM_003432	chr5	43121562	43176426	ZNF131	84799
NM_153361	chr5	43192169	43280952	NIM1K	274639
NM_182977	chr5	43603228	43705668	NNT	76866
NR_072980	chr5	43192953	43280952	NIM1K	274639
NM_001301873	chr5	43376747	43412493	CCL28	36386
NM_001301874	chr5	43376747	43412493	CCL28	36386
NM_148672	chr5	43379295	43412493	CCL28	36386
NM_001301875	chr5	43379295	43397366	CCL28	36386
NM_001330709	chr5	43120944	43176426	ZNF131	84799
NM_001330706	chr5	43120944	43176426	ZNF131	84799
NM_001331026	chr5	43603228	43705668	NNT	76866
NM_012343	chr5	43602790	43705668	NNT	76866
NM_001297548	chr5	43121562	43176426	ZNF131	84799
NM_021072	chr5	45255051	45696220	HCN1	40841
NM_001331028	chr5	49963379	50142356	PARP8	154042
NM_001178055	chr5	49961732	50142356	PARP8	154042
NM_001178056	chr5	49962771	50142356	PARP8	154042
NM_024615	chr5	49962771	50142356	PARP8	154042
NR_073107	chr5	52285155	52390609	ITGA2	74662
NR_073106	chr5	52285155	52390609	ITGA2	74662
NR_073105	chr5	52285155	52390609	ITGA2	74662
NR_073104	chr5	52285155	52390609	ITGA2	74662
NR_073103	chr5	52285155	52390609	ITGA2	74662
NM_181501	chr5	52084135	52249485	ITGA1	74661
NM_002203	chr5	52285155	52390609	ITGA2	74662
NR_134475	chr5	52856462	52979171	NDUFS4	23258
NR_134474	chr5	52856462	52979171	NDUFS4	23258
NM_001318051	chr5	52856462	52979171	NDUFS4	23258
NR_147167	chr5	53071880	53115512	LINC02105	437904
NR_147168	chr5	53071880	53115512	LINC02105	437904
NR_134473	chr5	52856462	52979171	NDUFS4	23258
NM_002495	chr5	52856462	52979171	NDUFS4	23258
NM_139017	chr5	55147206	55213165	IL31RA	150757
NM_024415	chr5	55033844	55112974	DDX4	72633
NM_001242638	chr5	55147206	55218682	IL31RA	150757
NR_103485	chr5	54720669	54830906	PLPP1	274796
NM_001166533	chr5	55033844	55112605	DDX4	72633
NM_003711	chr5	54720669	54830906	PLPP1	274796
NM_001242637	chr5	55147206	55218682	IL31RA	150757
NM_024669	chr5	55395506	55529186	ANKRD55	83782
NM_001297572	chr5	55147206	55204968	IL31RA	150757
NM_001297570	chr5	55147206	55204968	IL31RA	150757
NM_176895	chr5	54720669	54830906	PLPP1	274796
NM_001242636	chr5	55149149	55213165	IL31RA	150757
NM_001242639	chr5	55149149	55213165	IL31RA	150757
NM_015360	chr5	54603575	54721409	SKIV2L2	83708
NM_001142549	chr5	55033844	55112974	DDX4	72633
NM_001127235	chr5	56471274	56560506	GPBP1	81915
NM_001287053	chr5	55807220	55902059	C5orf67	437417
NM_022913	chr5	56469774	56560506	GPBP1	81915
NM_001297599	chr5	56215428	56247957	MIER3	154231
NM_001297598	chr5	56215428	56247957	MIER3	154231
NM_001203246	chr5	56469774	56560506	GPBP1	81915
NM_001331037	chr5	56469774	56560506	GPBP1	81915
NM_152622	chr5	56215428	56247957	MIER3	154231
NR_104669	chr5	57403458	57418168	LINC02101	324475
NM_001197222	chr5	58264865	58335339	PDE4D	142772
NM_001197221	chr5	58264865	58335339	PDE4D	142772
NM_001197220	chr5	58264865	58571945	PDE4D	142772
NM_138453	chr5	57878870	58155222	RAB3C	81049
NM_001197219	chr5	58264865	58652727	PDE4D	142772
NM_001317915	chr5	57878014	58155222	RAB3C	81049
NM_174889	chr5	60240955	60448864	NDUFAF2	23263
NM_001145208	chr5	59892738	59995993	DEPDC1B	152081
NM_018369	chr5	59892738	59995993	DEPDC1B	152081
NR_146624	chr5	60546386	60560756	LINC02057	354493
NR_126523	chr5	60933607	61002362	C5orf64	279585
NM_001098511	chr5	61601988	61683011	KIF2A	80708
NM_004520	chr5	61601988	61683011	KIF2A	80708
NM_001243953	chr5	61601988	61683011	KIF2A	80708
NM_001243952	chr5	61601988	61683011	KIF2A	80708
NR_126525	chr5	60933607	61026824	C5orf64	279585
NR_126524	chr5	60933607	61026824	C5orf64	279585
NM_173667	chr5	60933607	61002362	C5orf64	279585
NM_001113561	chr5	63461669	63668696	RNF180	155456
NM_001323292	chr5	63461669	63631758	RNF180	155456
NM_001029875	chr5	63801773	63908121	RGS7BP	77460
NM_001278927	chr5	64859065	64883370	PPWD1	23016
NM_001278926	chr5	64859065	64883370	PPWD1	23016
NM_005869	chr5	64064744	64314590	CWC27	23026
NM_015342	chr5	64859062	64883376	PPWD1	23016
NM_197941	chr5	64444562	64777747	ADAMTS6	143897
NM_001318000	chr5	64064744	64142516	CWC27	23026
NR_135689	chr5	64444562	64777747	ADAMTS6	143897
NM_001297645	chr5	64064744	64104388	CWC27	23026
NM_001297644	chr5	64064744	64314590	CWC27	23026
NM_001278929	chr5	64859065	64883370	PPWD1	23016
NM_001253701	chr5	65222381	65376851	ERBIN	284598
NM_001253697	chr5	65222381	65376851	ERBIN	284598
NM_001253699	chr5	65222381	65376851	ERBIN	284598
NM_001253698	chr5	65222381	65376851	ERBIN	284598
NM_018695	chr5	65222381	65376851	ERBIN	284598
NM_001006600	chr5	65222381	65376851	ERBIN	284598
NM_015183	chr5	66124603	66465423	MAST4	153660
NM_001297651	chr5	66300447	66465423	MAST4	153660
NM_001290227	chr5	66300447	66465423	MAST4	153660
NM_001290226	chr5	66254697	66465423	MAST4	153660
NM_001205255	chr5	68800003	68853931	OCLN	75680
NM_001324072	chr5	68530621	68573257	CDK7	24186
NM_001324071	chr5	68530621	68573257	CDK7	24186
NM_001205254	chr5	68788589	68853931	OCLN	75680
NM_133341	chr5	68666861	68710628	RAD17	84179
NM_133340	chr5	68666861	68710628	RAD17	84179
NM_133339	chr5	68667280	68710628	RAD17	84179
NR_027386	chr5	68935289	69006354	GUSBP3	279654
NM_133344	chr5	68665638	68710628	RAD17	84179
NM_022902	chr5	68389775	68426899	SLC30A5	22879
NM_002873	chr5	68666531	68710628	RAD17	84179
NM_001324078	chr5	68530621	68573257	CDK7	24186
NM_001324077	chr5	68530621	68573257	CDK7	24186
NM_001324075	chr5	68530621	68573257	CDK7	24186
NM_001324074	chr5	68530621	68573257	CDK7	24186
NM_001324070	chr5	68530621	68573257	CDK7	24186
NM_001324069	chr5	68530621	68573257	CDK7	24186
NM_001799	chr5	68530621	68573257	CDK7	24186
NM_001278622	chr5	68665886	68710628	RAD17	84179
NR_130778	chr5	68263567	68325754	LINC02198	309310
NM_002538	chr5	68788118	68853931	OCLN	75680
NR_136690	chr5	68530621	68573257	CDK7	24186
NM_133343	chr5	68665123	68710630	RAD17	84179
NM_133342	chr5	68665557	68710628	RAD17	84179
NM_133338	chr5	68665638	68710628	RAD17	84179
NR_027386	chr5	69515015	69881629	GUSBP3	279654
NR_033417	chr5	69711196	69746189	GTF2H2B	260836
NM_021967	chr5	69321071	69338940	SERF1A	152825
NM_022978	chr5	69321077	69338934	SERF1B	80137
NM_022132	chr5	70883114	70954530	MCCC2	24452
NR_033968	chr5	70516052	70555122	GUSBP9	414488
NR_134269	chr5	70616857	70742583	LINC02197	309309
NR_134268	chr5	70647681	70742163	LINC02197	309309
NM_018429	chr5	70751441	70863649	BDP1	82849
NM_001286751	chr5	71515235	71616084	MRPS27	80058
NM_001286748	chr5	71515235	71616084	MRPS27	80058
NM_005909	chr5	71403094	71505397	MAP1B	20514
NM_015084	chr5	71515235	71616084	MRPS27	80058
NM_001284431	chr5	72861565	72879202	UTP15	84817
NM_001244364	chr5	73109342	73237818	ARHGEF28	201648
NM_001177693	chr5	72921982	73237818	ARHGEF28	201648
NM_001284430	chr5	72861565	72879202	UTP15	84817
NM_032175	chr5	72861565	72879202	UTP15	84817
NM_001080479	chr5	72921982	73237818	ARHGEF28	201648
NM_170681	chr5	74032168	74063196	GFM2	84185
NM_170691	chr5	74017028	74063196	GFM2	84185
NM_003633	chr5	73923230	73937249	ENC1	43923
NM_001256576	chr5	73923230	73937249	ENC1	43923
NM_001256575	chr5	73923230	73937249	ENC1	43923
NM_001256574	chr5	73923230	73937249	ENC1	43923
NR_126354	chr5	73665200	73832801	LINC01331	279807
NR_046318	chr5	73923230	73937249	ENC1	43923
NR_104006	chr5	74017028	74063196	GFM2	84185
NM_001281302	chr5	74017028	74063196	GFM2	84185
NM_032380	chr5	74017028	74063196	GFM2	84185
NR_144315	chr5	74807574	74901644	POLK	84249
NM_016218	chr5	74807574	74901644	POLK	84249
NM_001345922	chr5	74807574	74901644	POLK	84249
NM_001345921	chr5	74807574	74901644	POLK	84249
NM_031361	chr5	74666927	74807454	COL4A3BP	73177
NM_005713	chr5	74666927	74807454	COL4A3BP	73177
NM_001099271	chr5	74970023	75013313	POC5	202337
NM_001130105	chr5	74666927	74807806	COL4A3BP	73177
NM_152408	chr5	74970023	75008280	POC5	202337
NM_130772	chr5	76145825	76217056	S100Z	152917
NM_001285460	chr5	75843233	76003957	IQGAP2	149576
NM_001311313	chr5	76011867	76031605	F2R	75087
NM_006633	chr5	75699079	76003957	IQGAP2	149576
NR_024398	chr5	76382622	76444176	ZBED3-AS1	435162
NM_001992	chr5	76011867	76031605	F2R	75087
NM_001297738	chr5	76986993	77072185	TBCA	35677
NM_001271769	chr5	77298149	77590579	AP3B1	24337
NM_001297740	chr5	76986993	77072185	TBCA	35677
NM_004607	chr5	76986994	77072185	TBCA	35677
NM_003664	chr5	77298149	77590579	AP3B1	24337
NM_005779	chr5	77781037	77944648	LHFPL2	83726
NM_004866	chr5	77656326	77776562	SCAMP1	4464
NM_001290229	chr5	77656326	77776562	SCAMP1	4464
NM_001178005	chr5	78365546	78385897	BHMT2	144791
NR_110885	chr5	77656326	77776562	SCAMP1	4464
NM_198709	chr5	78111333	78281766	ARSB	53031
NM_017614	chr5	78365546	78385897	BHMT2	144791
NM_000046	chr5	78073036	78281610	ARSB	53031
NR_126060	chr5	79407049	79551901	SERINC5	155457
NR_126061	chr5	79407049	79551901	SERINC5	155457
NM_001277078	chr5	78669646	78809659	HOMER1	79998
NM_004272	chr5	78669646	78809659	HOMER1	79998
NM_001306212	chr5	79287118	79379107	THBS4	79822
NM_001306213	chr5	79287118	79379107	THBS4	79822
NM_153610	chr5	78985658	79096049	CMYA5	76929
NM_001174071	chr5	79407049	79551901	SERINC5	155457
NM_001277077	chr5	78669646	78809659	HOMER1	79998
NM_178276	chr5	79407049	79551901	SERINC5	155457
NM_002439	chr5	79950466	80172634	MSH3	84244
NM_006909	chr5	80256507	80525981	RASGRF2	156145
NM_205548	chr5	79783799	79838382	FAM151B	83824
NM_001131028	chr5	81267843	81551216	ATG10	35415
NM_031482	chr5	81267843	81551216	ATG10	35415
NM_022406	chr5	82373227	82649579	XRCC4	83048
NM_022550	chr5	82373227	82649579	XRCC4	83048
NM_001318012	chr5	82373227	82649579	XRCC4	83048
NM_003401	chr5	82373227	82649579	XRCC4	83048
NM_001318013	chr5	82373227	82606888	XRCC4	83048
NM_005711	chr5	83236413	83680685	EDIL3	153454
NM_001884	chr5	82934016	83016896	HAPLN1	84902
NM_001278642	chr5	83236413	83680685	EDIL3	153454
NR_003719	chr5	85578261	85593365	NBPF22P	313654
NM_022650	chr5	86564740	86687743	RASA1	23084
NM_002890	chr5	86564069	86687743	RASA1	23084
NR_152238	chr5	87834083	87974265	LINC00461	279647
NM_001349405	chr5	87491022	87564696	TMEM161B	154032
NR_152242	chr5	87834083	87969157	LINC00461	279647
NR_152243	chr5	87834083	87969157	LINC00461	279647
NM_001289008	chr5	87491022	87564696	TMEM161B	154032
NM_001289007	chr5	87485449	87564696	TMEM161B	154032
NR_152239	chr5	87834083	87974265	LINC00461	279647
NR_015436	chr5	87834083	87980642	LINC00461	279647
NR_110266	chr5	87491022	87564696	TMEM161B	154032
NR_039993	chr5	87564698	87732491	TMEM161B-AS1	324181
NR_039995	chr5	87564698	87732491	TMEM161B-AS1	324181
NR_039994	chr5	87564832	87732491	TMEM161B-AS1	324181
NR_105019	chr5	87564832	87732491	TMEM161B-AS1	324181
NM_001349407	chr5	87484132	87564696	TMEM161B	154032
NM_153354	chr5	87491022	87564696	TMEM161B	154032
NM_001349403	chr5	87491022	87564696	TMEM161B	154032
NM_001349402	chr5	87491022	87564696	TMEM161B	154032
NM_001349400	chr5	87491022	87564696	TMEM161B	154032
NR_152235	chr5	87834083	87980642	LINC00461	279647
NR_109941	chr5	88179146	88328193	MEF2C-AS1	267437
NR_136218	chr5	88179146	88763398	MEF2C-AS1	267437
NR_136219	chr5	88179146	88763398	MEF2C-AS1	267437
NR_109940	chr5	88185124	88237187	MEF2C-AS1	267437
NR_104031	chr5	88185124	88263096	MEF2C-AS1	267437
NR_136217	chr5	88185124	88763398	MEF2C-AS1	267437
NR_136222	chr5	88185124	88763398	MEF2C-AS1	267437
NR_136220	chr5	88185429	88763398	MEF2C-AS1	267437
NR_136221	chr5	88185429	88763398	MEF2C-AS1	267437
NR_120601	chr5	89454155	89585888	LINC01339	435342
NM_006467	chr5	89770680	89810369	POLR3G	193769
NR_027435	chr5	90676163	90716532	ARRDC3-AS1	435248
NM_005654	chr5	92919042	92930315	NR2F1	84466
NR_109825	chr5	92745061	92907049	NR2F1-AS1	279635
NR_021491	chr5	92745061	92917026	NR2F1-AS1	279635
NR_109820	chr5	92745061	92917026	NR2F1-AS1	279635
NR_109821	chr5	92745061	92917026	NR2F1-AS1	279635
NR_109822	chr5	92745061	92917026	NR2F1-AS1	279635
NR_109823	chr5	92745061	92917026	NR2F1-AS1	279635
NR_109824	chr5	92745061	92917026	NR2F1-AS1	279635
NM_001145678	chr5	93486555	93954309	KIAA0825	139229
NM_032290	chr5	93954390	94031573	SLF1	101131
NM_002064	chr5	95149552	95158577	GLRX	151616
NM_152548	chr5	94727047	94786144	FAM81B	82349
NM_198150	chr5	94890824	94940806	ARSK	81777
NM_001118890	chr5	95149552	95158577	GLRX	151616
NM_001349303	chr5	94994019	95067550	SPATA9	76124
NM_001243659	chr5	95149552	95158577	GLRX	151616
NM_001243658	chr5	95149552	95158577	GLRX	151616
NM_012081	chr5	95220801	95297775	ELL2	153259
NM_005575	chr5	96271345	96365115	LNPEP	195204
NM_001330628	chr5	95998682	96110385	CAST	73979
NM_001042443	chr5	96038363	96110385	CAST	73979
NM_001330627	chr5	95997860	96110385	CAST	73979
NM_001330634	chr5	96038363	96110385	CAST	73979
NM_001330633	chr5	96038363	96110385	CAST	73979
NM_001330632	chr5	96038363	96110385	CAST	73979
NM_001330631	chr5	96038363	96110385	CAST	73979
NM_001330630	chr5	96038363	96110385	CAST	73979
NM_001330626	chr5	95997860	96110385	CAST	73979
NM_001284212	chr5	96038363	96110385	CAST	73979
NM_175920	chr5	96294155	96365115	LNPEP	195204
NM_001284213	chr5	96038363	96110385	CAST	73979
NM_001750	chr5	95997860	96110385	CAST	73979
NM_001330629	chr5	95998682	96110385	CAST	73979
NM_173060	chr5	96038363	96110385	CAST	73979
NM_001190442	chr5	95997740	96110385	CAST	73979
NM_001042446	chr5	96038363	96110385	CAST	73979
NM_001042445	chr5	96038363	96110385	CAST	73979
NM_001042444	chr5	96038363	96110385	CAST	73979
NM_001042442	chr5	95997740	96110385	CAST	73979
NM_001042441	chr5	95997860	96110385	CAST	73979
NM_001042440	chr5	95997860	96110385	CAST	73979
NR_105028	chr5	96840399	97006755	LINC01340	324872
NR_146299	chr5	97176461	97259179	LINC02234	349343
NR_151718	chr5	98264265	98339725	LINC02062	441208
